"orderid","customerid","orderdate","addressid","vendorcourierid","trackingid","courier_name","vendor_name"
1,1,"2025-04-01",1,1,"TRK12345601","BlueDart Express","TechWorld Inc."
2,2,"2025-04-02",2,2,"TRK12345602","Delhivery","TechWorld Inc."
3,3,"2025-04-03",3,3,"TRK12345603","DTDC Courier","StyleHub"
4,4,"2025-04-04",4,4,"TRK12345604","FedEx India","StyleHub"
5,5,"2025-04-05",5,5,"TRK12345605","India Post","HomeEssence"
6,6,"2025-04-06",6,6,"TRK12345606","Ecom Express","HomeEssence"
7,7,"2025-04-07",7,7,"TRK12345607","Shadowfax","BookVerse"
8,8,"2025-04-08",8,8,"TRK12345608","XpressBees","BookVerse"
9,9,"2025-04-09",9,9,"TRK12345609","Gati Ltd.","WellnessMart"
10,10,"2025-04-10",10,10,"TRK12345610","Amazon Transportation Services","WellnessMart"
11,11,"2025-04-11",11,11,"TRK12345611","Delhivery","GearUp Sports"
12,12,"2025-04-12",12,12,"TRK12345612","FedEx India","GearUp Sports"
13,13,"2025-04-13",13,13,"TRK12345613","BlueDart Express","ToyGalaxy"
14,14,"2025-04-14",14,14,"TRK12345614","India Post","ToyGalaxy"
15,15,"2025-04-15",15,15,"TRK12345615","DTDC Courier","AutoZone"
16,16,"2025-04-16",16,16,"TRK12345616","Ecom Express","AutoZone"
17,17,"2025-04-17",17,17,"TRK12345617","Shadowfax","BeautyBox"
18,18,"2025-04-18",18,18,"TRK12345618","XpressBees","BeautyBox"
19,19,"2025-04-19",19,19,"TRK12345619","Gati Ltd.","GroceryGo"
20,20,"2025-04-20",20,20,"TRK12345620","Amazon Transportation Services","GroceryGo"
